content,content_en
fitur sirekap sepenuh mutakhir perlu tingkat kembali jangan gara-gara aplikasi tugas kpps salah perlu tingkat  hasil scan edit 2x al hasil ada revisi tidk bisa ubah daftar hadir ada opsi dpt dpk dptb proses upload relatif lama server siap tampung mode offline banyak blank baca server padahal aplikasi sukses kirim mohon perhati depan,"The sirekap feature is fully up to date, needs to be re-leveled, don't do it because the KPPS assignment application is wrong, need to level the scan results, edit 2x, al results have revisions, can't change the attendance list, there is an option to get dpk dptb, the upload process is relatively long, the server is ready to accommodate, the offline mode has a lot of blank reading on the server, even though the application successful delivery, please pay attention"
kamera jelek hd kayak kamera jadul deteksi angka aplikasi nya susah pakai lot tingkat dewa inti kamera patut guna mungkin bisa di revisi milu lanjut cahaya pakai sokle baru bisa baca aplikasi nya tolol,"bad HD camera, like an old school camera, detecting numbers, the application is difficult to use, the core of the camera is good, maybe it can be revised a little later, using a socket, you can read the application, stupid"
aplikasi susah bukan mudah kerja harus foto bentuk foto apa yang penting jelas baca betul hasil plano bawah inputan manual hasil biar mudah bukan ini foto hasil,"the application is difficult, not easy, the work has to be taken, what form of photo is important, clearly read the results of the plan below, manually input the results so it's easy, isn't this a photo of the results?"
benar buruk aplikasi dipake se indonesia kalo memang eror ini terus mending usah bikin aplikasi sirekap kata buat mudah hasil sulit aplikasi hampir minggu ganti versi,"It's really bad that the application is used throughout Indonesia. If this error continues, it's better to make a sirekap kata application to make it easy, difficult results, the application will almost be a week to change the version."
aplikasi siap buat publish banyak harus baik 1 2 anggota sirekap 1 tps data sudah upload disirekap 1 muncul sirekap 2 fixing 2 akses edit data  pemberitahuan c salin sama data sudah diupload 3 scan sesuai auto clear tiap inputan 4 upload hadir dpt tambah halamn lihat terlalu bawah 5 upload data saksi hanya ada tiap jenis suara agar tidak dobel,"the application is ready to publish, lots of it has to be good 1 2 sirekap members 1 tps data has been uploaded in sirekap 1 sirekap appears 2 fixing 2 access edit data notification c copy with data already uploaded 3 scan according to auto clear each input 4 upload is present can add page see too bottom 5 Upload witness data only for each type of vote so there are no duplicates"
ada sirekap ekspetasi hitung suara lebih cepat mudah realitanya sesuai ekspetasi malah sulit lambat moga baik 5taun depan guna optimal,"there is a perception that the vote count will be faster and easier, in reality it is in line with expectations, but it is difficult, it is slow, hopefully it will be good in the next 5 years for optimal purposes"
upload foto lama ai -nya banyak ngaconya selesai isi foto data verifikasi klik kunci buat dokumen 36 jam lebih  sekarang  muter2 loading nya hubung developer aplikasi nya sekarang ada tanggap tambah aplikasi makan memori handphone 1 gb lebih,"Uploading old photos, AI is a lot of fun, after filling in the photos, verification data, click on the key to create a document, 36 hours or more, now it's loading, contact the application developer, now there is a response, add the application, it eats up more than 1 GB of cellphone memory."
aplikasi perintah sangat buruk kwalitasnya  susah log in sering mental kluar input data  trus baca kamera sesuei real nya  udah gitu ppwp bisa edit sistem bisa baca  pokok buruk sekali,"the command application is very bad quality, it's hard to log in, often mentally exits, inputs data then reads the camera according to the real thing, that's it, ppwp can edit the system, it can read the main thing, it's really bad"
sangat kecewa login semua tipe hp lebih tingkat aplikasi bisa akses semua tipe hp lebih tingkat supaya bisa baca angka angka digital maupun angka biasa pokok tingkat lagi jangan sampe banyak akses jadi loading macet kirim poto nunggu nya sampe selesai kirim jangan nyalahin anggota kpps udah bener tulis baik aplikasi jangan saling salah,"Very disappointed, login to all types of cellphones, more levels of the application can access all types of cellphones, more levels so you can read digital numbers and regular numbers, the main level is more, don't let too many accesses cause loading to get stuck, send photos, wait until it's finished sending, don't blame the KPPS members, you've really written well. applications do not confuse each other"
dong aplikasi baik minimal kalau baca angka benar tulis manual di isi manual tetap bisa keluh sesuai padahal angka sudah baca dengan jelas tolong tambah menu import foto galeri agar tidak susah,"bro, the application is good, at least if you read the numbers correctly, write manually in the manual, you can still complain that they are correct even though the numbers have been read clearly, please add a gallery photo import menu so it's not difficult"
lama 4 tahun developer sirekap ngapain server ada baik dari dulu aplikasi ada kembang apa paling saat ambil gambar tambahin fiture flash paling resolusi ambil foto naik kasi buat operator sirekap sensor kamera bagus hasil foto jadi kayak vga noise dimana2,"It's been 4 years since the Sirekap developer has been working, what's the matter with the server? It's been good since the beginning of the application, what's the best when taking pictures, add the flash feature, the resolution of taking photos has increased, thanks for the Sirekap operator, the camera sensor is good, the photo results are like VGA, noise is everywhere"
kelas milu tentu pimpin indonesia aplikasi benar sangat layak segala fitur ada mumpuni server sering down upload foto sering keliru bagi potong deteksi angka otomatis tidak ada nya fitur edit data panwas saksi pps moga milu ikut aplikasi bisa baik ya buat lebih user friendly mudah di paham sama guna masih newbie,"Milu class certainly leads Indonesia. The application is truly very worthy. All the features are good. The server often goes down. Photo uploads are often wrong for cutting, automatic number detection. There is no data editing feature, PPS witness monitoring, I hope Milu can join in. The application can be good, make it more user friendly, easy to understand and use. still a newbie"
niat bagus cuma kurang manfaat waktu siap aplikasi saja verifikasi dokumen lampau lama keburu form c hasil kembali pps di update sebenernya bagus tulis hasil manual jadi double checking kualitas kamera aplikasi lampau buruk tidak fitur flash nya,"Good intentions, but less useful, time to prepare the application, just verify the documents, it took a long time, the C form came back, the PPS was updated, it was actually good, wrote the results manually, so double checked, the camera quality of the application, the past time, was bad, didn't the flash feature"
gimanan foto si rekap bisa jernih bisa bawa handphone bisa atur hasil gambar kadang akurat edit sendiri server akses banyak orang eror data sudah submit bisa ubah tampil sederhana tarik saran depan mending uplod scan lalu camscaner biar jenih buram hasil lebih maksimal repot si admin rekap tps tugas dan tingkat servernya biar eror,"how can the recapper's photos be clear, can you bring a cellphone, can adjust the image results, sometimes they are accurate, edit yourself, the server has access to many people, data error has been submitted, can it be changed to appear simple, pull the next suggestion, it's better to upload a scan then camscaner so that the results are clear, opaque, the results are more optimal, it's a hassle for the admin of the recap, tps task and the server level causes errors"
please benerin post processing foto c hasil nya temu beberapa handphone hasil foto jadi burik pixleated padahal reso sama 1000x1700 an kok saya hasil nya jadi kaya burik banget yah terus bug nya beberapa handphone  circle bar nya muter terus kunci dokumen hadeh saran nih crud nya terapin gaada edit ama hapus loh di opsi tambah saksi pps panwas gimana sih wkwk tambah lah semua manusia kadang bisa salah input perlu edit,"Please correct the post processing of photo C, the results are found, some cellphones, the photo results are pix-leated, even though the resolution is the same, 1000x1700, why do I get really grainy results, and there's a bug, some cellphones, the circle bar rotates, keeps locking the document, this is a suggestion, the problem is that there's no editing. or delete it in the add witness option, PPS Panwas, how do you add it, all humans can sometimes make wrong input, need to edit"
guna aplikasi sirekap kunci buat dokumen telah uninstall instal ulang baru bisa kerja semua ulang cara sama malah kata akun di nonaktif cara ngatasinya gimana ya kalau ini kerja tidak akan pernah selesai,"use the lock reset application for documents, uninstall it, re-install it, everything works again, the same way, even if the account is deactivated, how do you solve it? If this works, it will never finish."
aplikasi gagal banyak bug over akses jadi lot kamera bisa fokus kualitas gambar tulis jadi blur gapake kamera bawa handphone kaya daftar hadir unggah gambar tulis tunggu saat 3 hari blum selesai proses unggah cara pengaplikasianya cukup mudah ya tadi contoh aplikasi gabagus buat pilih minta cepat aplikasi banyak masalah,"the application failed, lots of bugs over access, so the camera couldn't focus, the quality of the writing image became blurry without using the camera, bring a cellphone like the attendance list, upload the image, write, wait for 3 days before the upload process is finished, the application method is quite easy, yes, the application example is not good for selecting, request quickly, the application has many problems"
saran saya ai input bisa edit tambah coding bila online tetap edit kalau memang mau koreksi offline telah lengkap baru upload harus metode offline online tidak jadi ini banyak kpps tidak upload gara verifikasi online lupa aktif mode pesawat total suara baik kunci hitung otomatis data telah diinput aplikasi buat mudah bukan sulit,"My suggestion is that AI input can be edited, added coding if it's online, keep editing, if you really want offline corrections, it's complete, then uploading must be done using the offline online method, no, so this is a lot of KPPS not uploading because of online verification, forgetting to activate airplane mode, sound total, OK, automatic calculation key, data has been inputted by the application for easy not difficult"
aplikasi susah hitung kpps 1 foto kertas selalu akurat 2 server sangat lemah mungkin kurang anggar butuh dana lebih rp 100m 3 aplikasi golong gampang jebol tidak server sided 4 sangat susah guna tidak ambil foto storage handphone 5 aplikasi golong lot banyak bug kembang lambat asal asal saya guna sdm 7 gen 2 aplikasi sangat lambat 6 banyak no 13,the application is difficult to calculate kpps 1 paper photos are always accurate 2 the server is very weak maybe not enough budget needs more funds of IDR 100m 3 the application is easy to break not server sided 4 it is very difficult to not take photos of cell phone storage 5 the application is a lot of lots of bugs slow development as long as I use it tbsp 7 gen 2 very slow application 6 lots of number 13
