content,content_en
fitur sirekap sepenuh mutakhir perlu tingkat kembali jangan gara-gara aplikasi tugas kpps salah perlu tingkat  hasil scan edit 2x al hasil ada revisi tidk bisa ubah daftar hadir ada opsi dpt dpk dptb proses upload relatif lama server siap tampung mode offline banyak blank baca server padahal aplikasi sukses kirim mohon perhati depan,full up-to-date syrup features need a return level not because the application of the wrong kpps task needs a level of scan results edit 2x al results there is a revision can not change the list present there is an option dpk dptb upload process relatively long server is ready to accommodate offline mode many blank read servers even though the application is successful send please pay attention to the front
kamera jelek hd kayak kamera jadul deteksi angka aplikasi nya susah pakai lot tingkat dewa inti kamera patut guna mungkin bisa di revisi milu lanjut cahaya pakai sokle baru bisa baca aplikasi nya tolol,ugly hd camera like an old-fashioned camera detection of application numbers is difficult to use the lot of the core god level of the camera should be possible to revise further milu light using sokle can only read the application stupid
aplikasi susah bukan mudah kerja harus foto bentuk foto apa yang penting jelas baca betul hasil plano bawah inputan manual hasil biar mudah bukan ini foto hasil,"difficult application is not easy to work, you must take photos in the form of photos what is important, clearly read the results of the plano under the manual input, the results make it easy, not this is a photo of the results"
benar buruk aplikasi dipake se indonesia kalo memang eror ini terus mending usah bikin aplikasi sirekap kata buat mudah hasil sulit aplikasi hampir minggu ganti versi,really bad application used in Indonesia if indeed this error continues to make it difficult to make a word syrup application for easy difficult results of the application almost weeks to change the version
aplikasi siap buat publish banyak harus baik 1 2 anggota sirekap 1 tps data sudah upload disirekap 1 muncul sirekap 2 fixing 2 akses edit data  pemberitahuan c salin sama data sudah diupload 3 scan sesuai auto clear tiap inputan 4 upload hadir dpt tambah halamn lihat terlalu bawah 5 upload data saksi hanya ada tiap jenis suara agar tidak dobel,the application is ready to publish a lot must be good 1 2 syrup members 1 tps data has been uploaded shackled 1 appears syrup 2 fixing 2 edit access data  notification c copy the same data has been uploaded 3 scans according to auto clear each input 4 uploads present can add pages see too down 5 uploads of witness data there is only each type of sound so as not to double
ada sirekap ekspetasi hitung suara lebih cepat mudah realitanya sesuai ekspetasi malah sulit lambat moga baik 5taun depan guna optimal,there is a syrup expectation count sounds faster easy reality according to expectations even difficult slow good 5taun ahead for optimal
upload foto lama ai -nya banyak ngaconya selesai isi foto data verifikasi klik kunci buat dokumen 36 jam lebih  sekarang  muter2 loading nya hubung developer aplikasi nya sekarang ada tanggap tambah aplikasi makan memori handphone 1 gb lebih,uploading old photos ai - it's a lot of fun to finish filling out photos verification data click the key for the document 36 hours or more  now  muter2 loading it connect the developer of the application now there is a responsiveness plus the application eats 1 gb more mobile phone memory
aplikasi perintah sangat buruk kwalitasnya  susah log in sering mental kluar input data  trus baca kamera sesuei real nya  udah gitu ppwp bisa edit sistem bisa baca  pokok buruk sekali,the command application is very poor quality  it is difficult to log in often mental clue input data  and read the real sesuei camera already that's it ppwp can edit the system can read the subject very badly
sangat kecewa login semua tipe hp lebih tingkat aplikasi bisa akses semua tipe hp lebih tingkat supaya bisa baca angka angka digital maupun angka biasa pokok tingkat lagi jangan sampe banyak akses jadi loading macet kirim poto nunggu nya sampe selesai kirim jangan nyalahin anggota kpps udah bener tulis baik aplikasi jangan saling salah,very disappointed login all types of mobile phones over the level of the application can access all types of mobile phones over the level so that they can read digital numbers and basic regular numbers at the level again don't get too much access so loading is stuck send a waiting poto until it's finished send don't get wrong kpps members already really write good applications don't get each other wrong
dong aplikasi baik minimal kalau baca angka benar tulis manual di isi manual tetap bisa keluh sesuai padahal angka sudah baca dengan jelas tolong tambah menu import foto galeri agar tidak susah,"the application is good at least if you read the numbers correctly, write the manual in the contents of the manual, you can still complain accordingly even though the numbers have been read clearly, please add a gallery photo import menu so that it is not difficult"
lama 4 tahun developer sirekap ngapain server ada baik dari dulu aplikasi ada kembang apa paling saat ambil gambar tambahin fiture flash paling resolusi ambil foto naik kasi buat operator sirekap sensor kamera bagus hasil foto jadi kayak vga noise dimana2,4 years old sirekap developer why is the server good from the first application there is the most development when taking pictures plus the flash fiture the most resolution take photos up and down for the camera sensor syrup operator is good for the photo results so it's like vga noise everywhere
kelas milu tentu pimpin indonesia aplikasi benar sangat layak segala fitur ada mumpuni server sering down upload foto sering keliru bagi potong deteksi angka otomatis tidak ada nya fitur edit data panwas saksi pps moga milu ikut aplikasi bisa baik ya buat lebih user friendly mudah di paham sama guna masih newbie,"milu class, of course, lead Indonesia, the application is really very feasible, all features are qualified, servers often down upload photos are often mistaken for cutting automatic number detection, there is no data editing feature of panwas witnesses, hopefully milu will join the application can be good, yes, make it more user friendly, easy to understand the same, in order to still be newbie"
niat bagus cuma kurang manfaat waktu siap aplikasi saja verifikasi dokumen lampau lama keburu form c hasil kembali pps di update sebenernya bagus tulis hasil manual jadi double checking kualitas kamera aplikasi lampau buruk tidak fitur flash nya,"good intentions only lack the benefit of application ready time, verification of documents in the past, long search for form c, the results back to pps in the update are actually good, write the results of the manual so double checking the quality of the camera, the application in the past is bad, not the flash feature"
gimanan foto si rekap bisa jernih bisa bawa handphone bisa atur hasil gambar kadang akurat edit sendiri server akses banyak orang eror data sudah submit bisa ubah tampil sederhana tarik saran depan mending uplod scan lalu camscaner biar jenih buram hasil lebih maksimal repot si admin rekap tps tugas dan tingkat servernya biar eror,"the photo game, the recap can be clear, can bring a cellphone, can adjust the results of the picture, sometimes accurately edit the server itself, access many people, the data error has been submitted, can change the appearance simply pull the suggestions ahead, mending uplod scan, then camscaner so that the opaque results are more maximum, bother the admin, recap tps tasks and server levels, so that the error"
please benerin post processing foto c hasil nya temu beberapa handphone hasil foto jadi burik pixleated padahal reso sama 1000x1700 an kok saya hasil nya jadi kaya burik banget yah terus bug nya beberapa handphone  circle bar nya muter terus kunci dokumen hadeh saran nih crud nya terapin gaada edit ama hapus loh di opsi tambah saksi pps panwas gimana sih wkwk tambah lah semua manusia kadang bisa salah input perlu edit,please benerin post processing photo c the results of meeting several mobile phones the photos become pixleated even though the reso is the same 1000x1700 an why am I the result so rich burik really well keep the bugs some mobile phone  circle bar his muter continue to lock the hadeh document nih crud suggestion his terapin gaada edit ama delete loh in the option of adding witnesses pps panwas how the heck wkwk add it all humans can sometimes be wrong input need to edit
guna aplikasi sirekap kunci buat dokumen telah uninstall instal ulang baru bisa kerja semua ulang cara sama malah kata akun di nonaktif cara ngatasinya gimana ya kalau ini kerja tidak akan pernah selesai,use the key syrup application for the document has been uninstalled reinstall it can work all over again the same way even the word account on is off how to handle it what if this work will never be finished
aplikasi gagal banyak bug over akses jadi lot kamera bisa fokus kualitas gambar tulis jadi blur gapake kamera bawa handphone kaya daftar hadir unggah gambar tulis tunggu saat 3 hari blum selesai proses unggah cara pengaplikasianya cukup mudah ya tadi contoh aplikasi gabagus buat pilih minta cepat aplikasi banyak masalah,the application fails many bugs over access so the camera lot can focus on image quality write so blur gapake camera bring rich mobile phone list present upload images write wait when 3 days blum finished the process of uploading how to apply it is quite easy yes the example of gabagus application for choose ask fast application many problems
saran saya ai input bisa edit tambah coding bila online tetap edit kalau memang mau koreksi offline telah lengkap baru upload harus metode offline online tidak jadi ini banyak kpps tidak upload gara verifikasi online lupa aktif mode pesawat total suara baik kunci hitung otomatis data telah diinput aplikasi buat mudah bukan sulit,my suggestion ai input can edit add coding if online keep editing if you really want offline correction has been complete just uploaded must be offline method online not so this is a lot of kpps not uploaded because online verification forgot to be active airplane mode total sound good automatic counting key data has been inputted application for easy is not difficult
aplikasi susah hitung kpps 1 foto kertas selalu akurat 2 server sangat lemah mungkin kurang anggar butuh dana lebih rp 100m 3 aplikasi golong gampang jebol tidak server sided 4 sangat susah guna tidak ambil foto storage handphone 5 aplikasi golong lot banyak bug kembang lambat asal asal saya guna sdm 7 gen 2 aplikasi sangat lambat 6 banyak no 13,the application is difficult to calculate kpps 1 paper photo is always accurate 2 servers are very weak maybe less fencing needs more funds rp 100m 3 golong application is easy to break not server sided 4 it is very difficult not to take photos of cellphone storage 5 golong applications lots of slow flower bugs as long as I use SDM 7 gen 2 application is very slow 6 many no 13
bukan mudah malah sulit mulai sinyal padahal pake aplikasi lancar lancar aja kualitas foto jelek percuma terang bagus tulis bagus kalau foto burem mah terus deteksi angka nya parah masa angka 1 baca angka 7 lah 6 lah 4 lah padahal udah tarik lurus pake topi angka nya sama kalau niat mau pake aplikasi coba buat lama mah satu bulan mau pake baru bikin haduuuh parah jadi kpps sekarang cuma buat uji coba parah parah,"it's not easy even difficult to start the signal even though using the application is smooth and smooth, the quality of bad photos is free, it's good to write good if the photo of burem mah continues to detect the number is bad when the number 1 reads the number 7 is 6 is 4, even though it's been pulled straight using the hat the number is the same if the intention is to use the application try for a long time mah one month want to use it just make the haduuuh severe so KPPS now only makes the trial severe"
kasih tau waktu lapang yah min 1 app kurang baca 100  x baca 1 2 tombol online offline sebut cuma pop up jadi sedikit repot 3 sesi terlalu pendek ketika mode offline lalu ke app online dulu 4 terkadang tabel edit di edit ada tida 5 yang paling nyebelin  lebih muat keluar kode 504 sampe ahir milu rampung lah min baik servernya yang 2jt guna nampung,"tell me the free time, well the min 1 app lacks read 100  x read 1 2 buttons online offline say just pop up so a little hassle 3 sessions too short when offline mode and then go to the online app first 4 sometimes the edit table is edited there are not 5 most nebelin more load out code 504 until ahir milu finish the min well the server is 2jt to finish"
aplikasi butut heran kpu kasih waktu 5 tahun buat ni aplikasi hasil malah ada kayak niat buat lebih hemat budget mungkin bisa unggah foto galeri kualitas foto jadi jelek banget  blur ada flash unggah suka minta foto ulang mana buat repot kali kalo amanah buat aplikasi buat baik mungkin masuk teman sudah ulas pikir,application butut wonder kpu give 5 years for this application the results even there is like an intention to save more budget maybe can upload photos gallery photo quality so bad blur no flash upload like to ask for a re-photo where to bother times if the mandate for the application to be good maybe enter a friend has reviewed the thought
aplikasi gagal suka nge bug over akses bikin lot kamera bisa fokus kualitas gambar tulis jadi blur unggah gambar tulis tunggu saat 3 hari blum selesai proses unggah cara pengaplikasianya cukup mudah ya tadi contoh aplikasi milu tahun 2019 sampe sekarang ada ubah,the application fails to like to bug over access to make the camera lot can focus on the quality of the picture write so blur upload the picture write wait when 3 days blum finish the process of uploading how to apply it is quite easy yes the example of milu application in 2019 until now there is a change
banyak kurang salah satu aktif lampu flash mau foto coba tambah fitur nyala flash bantu foto mungkin depan bisa pikir discan c-salinan ukur a4 sekarang hampir tiap tps lengkap printer bisa scan copy,a lot less one of the active flash lights want photos try adding flash features help photos maybe ahead can think scanned c-copy measure a4 now almost every complete tps printer can scan copy
made in perintah dulu gin mulu ya minus bisa auto focus fitur utama buah aplikasi guna kamera bisa nyala flash fitur tambah jelas objek foto bisa pake foto galeri fitur tambah minta foto ulang server kurang kuat,made in command first gin mulu yes minus can auto focus the main features of the application fruit for the camera can turn on flash features more clearly photo objects can use photos gallery features more ask for a reset photo server less powerful
sy beri rating 4 bintang sbg bentuk apresiasi aplikasi belum kerja maksimal utama proses baca  analis foto form c hasil plano kita upload sangat2 lama sekali 5 hr tgl milu belum selesai proses kita kunci buat dokumen c hasil harap depan bisa lebih baik utama daya kapasitas servernya,i give a rating of 4 stars as the form of appreciation of the application has not been the main maximum work of the process of reading the photo analyst form c the results of the plano we uploaded very long ago 5 hr milu date has not finished the process we key to the document c the results hope the front can be better the main power of the server capacity
aplikasi gagal udah foto beberapa kali kenal bukan bantu jalan milu malah ganggu belum realis aplikasi sesuai butuh fasilutasnya pada jangan masih dalam baik sudah di guna,"the application has failed to take photos several times. I know it's not a milu walk aid. In fact, it disturbs the unrealist of the application according to the need for its facilities. Don't still be in good use."
mohon hormat instansi kait klo misal baca aplikasi mohon baik servernya padahal jaring sya pakai sangat stabil perangkat guna pada sesuai arah sudah umum jauh hari jelang mungut suara,"please respect the institution of clo hooks, for example, read the application, please either the server, even though the net is very stable, the use of devices in accordance with the direction is common far ahead of the vote"
kalau sempurna usah pakai dulu tugas kpps pusing tambah aplikasi bobrok lapor c hasil bisa edit login lama upload data lama sering log out sendiri inti sempurna dulu baru pakai,"if it's perfect, you need to use it first, the task is dizzy, add a dilapidated application, report c, the results can edit the old login, upload the old data, often log out yourself, the core is perfect, then use it"
aplikasi paling jelek antara aplikasi ada play astor aplikasi selalu minta update pas hari guna banyak kendala bikin nambah pusing kerja tolong kalau aplikasi di kategori abal-abal ni di baik biar lebih baik depan ada kendala dll,the ugliest application between applications there is a play astor application always asks for updates during the day for many obstacles to make work more dizzy please if the application in this category is wrong so that it is better in front there are obstacles etc.
lebih tingkat lagi utama kamera fokus kasih flash upload terlalu lama data baca salah jd edit sendiri sangat buang waktu lambat kerja fitur edit tambah jangan skali pencet bsa ubah bisa edit data bner bner sesuai cukup bantu dr yang belum banyak nyusahinnya aplikasi,more to the extent that the main focus camera gives flash uploading too long data read wrong jd edit itself is a waste of time slow working edit features add don't scale the button change can edit data bner bner appropriate enough to help those who haven't bothered much with the application
aplikasi sangat layak guna akan cepat malah sulit mohon sempurna lagi sangat banyak kurang 1 handphone posisi online aplikasi deteksi offline 2 saat unggah foto aplikasi benar  baca angka c plano 3 unggah foto menu dpr waktu sangat lama dll banyak kurang  ,very feasible application will be fast and even difficult please perfect again very much less 1 mobile phone online position offline detection application 2 when uploading photos of the application correct  read the number c plano 3 upload photos dpr menu very long time etc a lot less
sedikit saran ttg aplikasi ini aplikasi agar akses kamera utama gambar di ambil lebih tajam hasil lama uji coba kemarin gambar di ambil rata blur walaupun cahaya cukup padahal banyak teman sirekap punya device lumayan bagus dr segi kamera hasil gambar juga sangat pengaruh upload gambar sering gagal tidak baca sistem mohon baik tingkat terima kasih,"a little advice about this application so that the main camera access of the picture is taken sharper than the old results of yesterday's test, the picture is taken blur even though the light is enough, even though many of my friends have a pretty good device in terms of the camera, the image results are also very influential, uploading images often fails not to read the system, please kindly rate thank you"
sulit seperti aplikasi nya bom layak guna angka foto yang baca sesuai kadang tidak baca edit jatuh nyalin hasil mohon di tingkat terimakasih,difficult as the application of the BOM is feasible to use photo numbers that read accordingly sometimes do not read the edit fall through the results please at the thank you level
instansi sangkut alangkah bagus laksana milu aplikasi sirekap uji coba dulu riset ambil sampel banyak tau lemah supaya baik jujur sekarang aplikasi sirekap banyak lemah utama hitung suara sirekap plano jadi tidak sesuai hitung suara tidak ubah sesuai plano apakah pihak selenggara mohon perhati terima kasih,related agencies would be good like milu application syrup test first research take samples many to know weak so that it is good to be honest now application syrup many weak main count sound syrup plano so it is not appropriate count sound does not change according to plano whether the maintenance party please pay attention to thank you
aplikasi parah kelas milu aplikasi kok begini mulai sering eror instruksi ofline tiba2 online aneh beda hasil hasil real baca hasil aplikasi itu bisa edit operator sirekap kalau ini gmn nama curang,severe application milu class application how come this starts often error ofline instructions suddenly online strange different results real results read the results of the application can edit the syrup operator if this is gmn cheat name
ambil gambar padahal otomatis pada titik posisi pas kenapa hasil selalu terang ambil gambar salah padahal update versi baru tolong tingkat kualitas cepat sistem nya di baik kalau begini terus hari h ujung ujung pakai salin rekapitulasi manual,take pictures even though it is automatically at the right position point why are the results always clear take the wrong picture even though the new version update please the system's fast quality level is good if this is the case then the end of the day use manual copy recapitulation
developer mohon maaf nih aplikasi bobrok sekali 1 server sering down  seperti anggar kurang banyak buat isi dompet  2 kamera aplikasi buat fokus manual  gada fitur flash padahal hitung bisa sampai malam hari kualitas foto sangat jelek 3 uji layak minimal 1 tahun-1 bulan milu kek kpps beban i waktu hari h sudah kurang tidur juga isi aplikasi masih bobrok,"developer sorry, the application is very dilapidated 1 server is often down  like fencing less for the contents of the wallet  2 camera applications for manual focus of the mace flash feature even though the count can be until nighttime the photo quality is very bad 3 feasible tests at least 1 year-1 month milu kek kpps load i during the day h have lacked sleep also the contents of the application are still dilapidated"
aplikasi bagus masalah aplikasi banyak kurang crut pasti orang orang pemograman bas dekstop developer ngertilah kalau saja ada crut bisa ubah hapus ada dobel kata edit ulang kata salah jadi saran ada baik ulang aplikasi sehingga guna rasa nyaman guna aplikasi,good application application problems a lot less crut definitely people programming bas desktop developer understand if only there was crut can change delete there is double word re-edit wrong word so there are good suggestions to reset the application so that it is comfortable to use the application
